	Step	Temp	Press	Volume	Density	PotEng	Enthalpy	
	0	300	2612.8348	213990.74	2.8265846	-45733.124	-44860.682	
	100	155.10512	8532.0419	213990.74	2.8265846	-45462.941	-44052.74	
	200	84.735071	11347.718	213990.74	2.8265846	-45311.853	-43648.37	
	300	181.78784	8768.9316	213990.74	2.8265846	-45430.963	-43942.564	
	400	176.71757	11181.792	213990.74	2.8265846	-45357.188	-43555.368	
	500	243.34766	10507.196	213990.74	2.8265846	-45401.547	-43573.567	
	600	258.24208	11758.343	213990.74	2.8265846	-45352.745	-43331.669	
	700	222.02863	15147.904	213990.74	2.8265846	-45214.707	-42804.101	
	800	307.17165	13753.433	213990.74	2.8265846	-45282.964	-42910.042	
	900	288.10096	16059.435	213990.74	2.8265846	-45189.276	-42541.635	
	1000	300.79699	17541.619	213990.74	2.8265846	-45137.671	-42269.912	
	1100	353.26519	16758.257	213990.74	2.8265846	-45177.022	-42322.341	
	1200	312.63479	18295.448	213990.74	2.8265846	-45110.638	-42121.54	
	1300	354.55895	17430.964	213990.74	2.8265846	-45155.972	-42209.185	
	1400	337.69157	17461.324	213990.74	2.8265846	-45145.765	-42224.354	
	1500	314.21486	18158.52	213990.74	2.8265846	-45113.689	-42140.123	
	1600	363.83821	17451.866	213990.74	2.8265846	-45156.551	-42190.781	
	1700	343.17703	18019.107	213990.74	2.8265846	-45129.226	-42123.745	
	1800	337.27666	18059.214	213990.74	2.8265846	-45124.286	-42123.743	
	1900	354.82871	18050.612	213990.74	2.8265846	-45129.729	-42099.709	
	2000	355.72835	18503.314	213990.74	2.8265846	-45113.866	-42021.812	
	2100	358.73074	18555.725	213990.74	2.8265846	-45110.018	-42005.726	
	2200	353.0001	18910.75	213990.74	2.8265846	-45093.913	-41952.202	
	2300	366.16589	18958.832	213990.74	2.8265846	-45096.445	-41925.339	
	2400	369.38811	19105.032	213990.74	2.8265846	-45092.613	-41896.357	
	2500	364.85885	19172.411	213990.74	2.8265846	-45089.127	-41891.776	
	2600	367.45751	19069.531	213990.74	2.8265846	-45091.446	-41903.301	
	2700	368.79814	19385.251	213990.74	2.8265846	-45081.106	-41848.453	
	2800	381.22795	19498.756	213990.74	2.8265846	-45080.989	-41811.487	
	2900	381.20695	19589.978	213990.74	2.8265846	-45075.103	-41793.455	
	3000	373.41175	19831.167	213990.74	2.8265846	-45063.325	-41763.064	
	3100	384.28615	19885.867	213990.74	2.8265846	-45064.539	-41737.998	
	3200	391.20419	20081.056	213990.74	2.8265846	-45060.06	-41695.378	
	3300	389.3068	20170.491	213990.74	2.8265846	-45054.657	-41681.341	
	3400	386.28953	20303.971	213990.74	2.8265846	-45047.464	-41661.584	
	3500	393.23442	20531.405	213990.74	2.8265846	-45042.195	-41613.82	
	3600	402.21287	20690.614	213990.74	2.8265846	-45037.832	-41572.527	
	3700	400.57547	20890.756	213990.74	2.8265846	-45029.135	-41539.955	
	3800	400.24828	20954.102	213990.74	2.8265846	-45025.965	-41528.896	
	3900	404.6794	21031.036	213990.74	2.8265846	-45024.045	-41508.969	
	4000	411.30273	21091.331	213990.74	2.8265846	-45024.801	-41490.115	
	4100	407.39024	21276.56	213990.74	2.8265846	-45015.003	-41462.404	
	4200	408.93256	21542.023	213990.74	2.8265846	-45005.005	-41414.259	
	4300	421.49765	21689.111	213990.74	2.8265846	-45003.881	-41371.564	
	4400	419.76635	21981.67	213990.74	2.8265846	-44992.001	-41323.63	
	4500	420.08317	22070.403	213990.74	2.8265846	-44988.298	-41307.524	
	4600	426.45815	22032.633	213990.74	2.8265846	-44992.141	-41305.287	
	4700	426.42081	22072.181	213990.74	2.8265846	-44990.235	-41298.165	
	4800	428.07971	22081.036	213990.74	2.8265846	-44990.243	-41294.095	
	4900	430.63136	22211.95	213990.74	2.8265846	-44986.916	-41268.831	
	5000	432.17962	22533.524	213990.74	2.8265846	-44975.301	-41211.564	
	5100	442.81862	22671.689	213990.74	2.8265846	-44973.924	-41173.169	
	5200	443.39309	22776.111	213990.74	2.8265846	-44969.458	-41153.754	
	5300	439.60253	22774.526	213990.74	2.8265846	-44966.959	-41158.081	
	5400	438.47342	22956.5	213990.74	2.8265846	-44957.402	-41126.189	
	5500	448.99194	23273.803	213990.74	2.8265846	-44948.217	-41056.271	
	5600	457.00149	23619.364	213990.74	2.8265846	-44938.392	-40986.316	
	5700	456.7429	23753.467	213990.74	2.8265846	-44932.61	-40963.074	
	5800	453.26775	23774.32	213990.74	2.8265846	-44930.09	-40963.832	
	5900	456.4235	23801.427	213990.74	2.8265846	-44929.696	-40954.311	
	6000	465.98566	23796.63	213990.74	2.8265846	-44932.765	-40941.337	
